scenario,k_true,k_est,trial,rmse_Z,BIC
B,9,5,2,0.7193785113232802,53119.572127675696
B,9,5,3,0.8397301136869969,55417.465742949455
B,9,5,4,0.7320517021760473,52756.060081557094
B,9,6,0,0.6632524925117734,48255.869414616835
B,9,6,1,0.6192620121670822,47713.07037416379
B,9,6,2,0.6788866434102878,49373.94744944282
B,9,6,3,0.6435332438663532,48495.60199243477
B,9,6,4,0.6001231244415828,48268.44154514257
B,9,7,0,0.5169984564406336,44744.584213007234
B,9,7,1,0.534438286325897,43510.38342004018
B,9,7,2,0.5265548130379543,44414.80014043123
B,9,7,3,0.5630872791663059,44429.90478538241
B,9,7,4,0.4951203373041443,44112.17859381438
B,9,8,0,0.4734169152553123,41469.67749238104
B,9,8,1,0.3823615952893673,39936.02184555916
B,9,8,2,0.32336454524155894,40786.19201611893
B,9,8,3,0.40519603656756065,40683.15130702324
B,9,8,4,0.3278617918940918,39984.28545936361
B,9,9,0,0.1806538627326696,38291.49250561689
B,9,9,1,0.1873322901038904,37747.28598550275
B,9,9,2,0.2904609717907795,41782.81250168686
B,9,9,3,0.2946077343524742,41448.030840201245
B,9,9,4,0.18857813477845475,37701.106532524995
B,9,10,0,0.3418564639952801,38765.61981573243
B,9,10,1,0.37551357238330196,37874.0372713202
B,9,10,2,0.33295736856405944,39209.90584741718
B,9,10,3,0.330723579892254,38237.09618925829
B,9,10,4,0.37255407503437143,37937.347497635776
